0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:50:26 +0700] "GET /quanlisinhvien1/list HTTP/1.1" 500 3374
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:51:51 +0700] "GET /quanlisinhvien1/list HTTP/1.1" 500 3374
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:51:58 +0700] "GET /quanlisinhvien1/list?=theLocale=en_US HTTP/1.1" 500 3374
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:52:19 +0700] "GET /quanlisinhvien1/list?page=1 HTTP/1.1" 500 3374
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:53:01 +0700] "GET /quanlisinhvien1/list HTTP/1.1" 500 3374
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:55:30 +0700] "GET /quanlisinhvien1/list HTTP/1.1" 500 3374
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:55:35 +0700] "GET /quanlisinhvien1/list HTTP/1.1" 500 3374
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:55:45 +0700] "GET /quanlisinhvien1/list HTTP/1.1" 500 3374
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:57:32 +0700] "GET /quanlisinhvien1/list HTTP/1.1" 500 3374
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:57:35 +0700] "GET /quanlisinhvien1/list?page=3 HTTP/1.1" 200 2410
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:57:37 +0700] "GET /quanlisinhvien1/list?page=2 HTTP/1.1" 500 3374
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:57:41 +0700] "GET /quanlisinhvien1/list?page=1 HTTP/1.1" 500 3374
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:57:50 +0700] "GET /quanlisinhvien1/list?page=1 HTTP/1.1" 500 3374
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:57:53 +0700] "GET /quanlisinhvien1/list?page=2 HTTP/1.1" 200 3107
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:57:55 +0700] "GET /quanlisinhvien1/list?page=3 HTTP/1.1" 500 3374
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:57:58 +0700] "GET /quanlisinhvien1/list?page=2 HTTP/1.1" 200 3107
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:57:58 +0700] "GET /quanlisinhvien1/list?page=2 HTTP/1.1" 200 3107
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:57:59 +0700] "GET /quanlisinhvien1/list?page=2 HTTP/1.1" 500 3374
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:58:37 +0700] "GET /quanlisinhvien1/list?page=1 HTTP/1.1" 500 3374
0:0:0:0:0:0:0:1 - - [25/Jun/2018:16:03:12 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=en_US HTTP/1.1" 200 3173
0:0:0:0:0:0:0:1 - - [25/Jun/2018:16:03:14 +0700] "GET /quanlisinhvien1/list HTTP/1.1" 200 3166
0:0:0:0:0:0:0:1 - - [25/Jun/2018:16:03:14 +0700] "GET /quanlisinhvien1/new HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [25/Jun/2018:16:03:16 +0700] "GET /quanlisinhvien1/list HTTP/1.1" 200 3166
0:0:0:0:0:0:0:1 - - [25/Jun/2018:16:03:17 +0700] "GET /quanlisinhvien1/new HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [25/Jun/2018:16:03:17 +0700] "GET /quanlisinhvien1/list HTTP/1.1" 200 3166
0:0:0:0:0:0:0:1 - - [25/Jun/2018:16:03:18 +0700] "GET /quanlisinhvien1/new HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [25/Jun/2018:16:03:18 +0700] "GET /quanlisinhvien1/list HTTP/1.1" 200 3166
0:0:0:0:0:0:0:1 - - [25/Jun/2018:16:03:20 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=en_US HTTP/1.1" 200 3173
0:0:0:0:0:0:0:1 - - [25/Jun/2018:16:03:20 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 3206
0:0:0:0:0:0:0:1 - - [25/Jun/2018:16:03:21 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=en_US HTTP/1.1" 200 3173
0:0:0:0:0:0:0:1 - - [25/Jun/2018:16:03:23 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=en_US HTTP/1.1" 200 3173
0:0:0:0:0:0:0:1 - - [25/Jun/2018:16:03:24 +0700] "GET /quanlisinhvien1/list HTTP/1.1" 200 3166
